LevelEditor                                                      game.load-scene
Tutorial MissionName type enum                                   game.set-mission-name
0                                                                game.set-turn
                                                                 


Plain TileType type enum -16 -17 int2                            tile.add
Plain TileType type enum -16 -16 int2                            tile.add
Plain TileType type enum -16 -15 int2                            tile.add
Plain TileType type enum -16 -14 int2                            tile.add
Plain TileType type enum -16 -13 int2                            tile.add
Plain TileType type enum -16 -12 int2                            tile.add
Plain TileType type enum -16 -11 int2                            tile.add
Plain TileType type enum -15 -17 int2                            tile.add
Plain TileType type enum -15 -16 int2                            tile.add
Plain TileType type enum -15 -15 int2                            tile.add
Plain TileType type enum -15 -14 int2                            tile.add
Plain TileType type enum -15 -13 int2                            tile.add
Plain TileType type enum -15 -12 int2                            tile.add
Plain TileType type enum -15 -11 int2                            tile.add
Plain TileType type enum -14 -17 int2                            tile.add
Plain TileType type enum -14 -16 int2                            tile.add
Plain TileType type enum -14 -15 int2                            tile.add
Plain TileType type enum -14 -14 int2                            tile.add
Plain TileType type enum -14 -13 int2                            tile.add
Plain TileType type enum -14 -12 int2                            tile.add
Plain TileType type enum -14 -11 int2                            tile.add
Plain TileType type enum -13 -17 int2                            tile.add
Plain TileType type enum -13 -16 int2                            tile.add
Plain TileType type enum -13 -15 int2                            tile.add
Plain TileType type enum -13 -14 int2                            tile.add
Plain TileType type enum -13 -13 int2                            tile.add
Plain TileType type enum -13 -12 int2                            tile.add
Plain TileType type enum -13 -11 int2                            tile.add
Plain TileType type enum -12 -17 int2                            tile.add
Plain TileType type enum -12 -16 int2                            tile.add
Plain TileType type enum -12 -15 int2                            tile.add
Plain TileType type enum -12 -14 int2                            tile.add
Plain TileType type enum -12 -13 int2                            tile.add
Plain TileType type enum -12 -12 int2                            tile.add
Plain TileType type enum -12 -11 int2                            tile.add
Plain TileType type enum -11 -17 int2                            tile.add
Plain TileType type enum -11 -16 int2                            tile.add
Plain TileType type enum -11 -15 int2                            tile.add
Plain TileType type enum -11 -14 int2                            tile.add
Plain TileType type enum -11 -13 int2                            tile.add
Plain TileType type enum -11 -12 int2                            tile.add
Plain TileType type enum -11 -11 int2                            tile.add
Plain TileType type enum -10 -17 int2                            tile.add
Plain TileType type enum -10 -16 int2                            tile.add
Plain TileType type enum -10 -15 int2                            tile.add
Plain TileType type enum -10 -14 int2                            tile.add
Plain TileType type enum -10 -13 int2                            tile.add
Plain TileType type enum -10 -12 int2                            tile.add
Plain TileType type enum -10 -11 int2                            tile.add


A TriggerName type enum                                          trigger.select

B TriggerName type enum                                          trigger.select

C TriggerName type enum                                          trigger.select

D TriggerName type enum                                          trigger.select

E TriggerName type enum                                          trigger.select

F TriggerName type enum                                          trigger.select


-11.86704 0 -13.85227 float3                                     camera-rig.set-position
315                                                              camera-rig.set-rotation
40                                                               camera-rig.set-distance
40.36793                                                         camera-rig.set-pitch-angle
20                                                               camera-rig.set-fov
